Product,Colour,Picture,Care Instructions
Crew-neck T-shirt in mercerised cotton with logo print,"Dark Blue, White, Black","https://images.hugoboss.com/is/image/boss/hbeu50453284_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453284_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453284_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453284_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453284_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit shirt in printed cotton poplin,Purple Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50458661_511_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458661_511_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458661_511_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458661_511_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458661_511_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50458661_511_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Long-sleeved regular-fit shirt in cotton jersey,"Black, Blue, Blue, Beige","https://images.hugoboss.com/is/image/boss/hbeu50449242_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449242_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449242_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449242_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449242_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50449242_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Relaxed-fit shirt in bleached denim,"Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50459614_405_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459614_405_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459614_405_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459614_405_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459614_405_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50459614_405_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Slim-fit shirt in dobby-woven cotton,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50457651_407_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Slim-fit shirt in easy-iron cotton-blend poplin,"Dark Blue, Light Blue, White","https://images.hugoboss.com/is/image/boss/hbeu50460918_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Cotton-canvas extra-slim-fit shirt with reflective motif,Black,"https://images.hugoboss.com/is/image/boss/hbeu50444266_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444266_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444266_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444266_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444266_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444266_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Button-down slim-fit shirt in Oxford stretch cotton,"White, Blue, Blue, Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50448887_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448887_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448887_100_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448887_100_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448887_100_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448887_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Slim-fit shirt in easy-iron Oxford cotton,"White, Light Blue","https://images.hugoboss.com/is/image/boss/hbeu50450137_199_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450137_199_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450137_199_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450137_199_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450137_199_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450137_199_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Easy-iron slim-fit shirt in cotton poplin,"Light Blue, Dark Blue, White","https://images.hugoboss.com/is/image/boss/hbeu50451092_450_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451092_450_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451092_450_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451092_450_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451092_450_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451092_450_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Extra-slim-fit evening shirt in structured cotton,White,"https://images.hugoboss.com/is/image/boss/hbeu50443556_199_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443556_199_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443556_199_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443556_199_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443556_199_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443556_199_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Slim-fit formal trousers in virgin wool with silk trims,Black,"https://images.hugoboss.com/is/image/boss/hbeu50375814_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50375814_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50375814_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50375814_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50375814_001_220?$large$=&fit=crop,1&align=1,1","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Striped slim-fit shirt in Italian performance-stretch fabric,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50451282_430_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451282_430_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451282_430_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451282_430_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451282_430_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451282_430_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Relaxed-fit trousers in Vitale Barberis Canonico wool,"Beige, Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50458831_262_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50458831_262_240?$large$=&fit=crop,1&align=1,1","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Slim-fit trousers in water-repellent technical twill,"Grey, Blue, Dark Blue, White, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50430357_038_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50430357_038_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Extra-slim-fit trousers in melange stretch wool,Black,"https://images.hugoboss.com/is/image/boss/hbeu50459644_021_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50459644_021_240?$large$=&fit=crop,1&align=1,1","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Tapered-fit chinos in brushed stretch-cotton satin,"Khaki, Red, Light Blue, Blue, Dark Blue, Dark Blue, Dark Green, White, Beige, Brown, Light Beige, Brown, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50442037_308_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50442037_308_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit casual chinos in brushed stretch cotton,"Dark Green, Dark Green, Brown, White, Beige, Beige, Brown, Beige, Brown, Light Grey, Light Grey, Grey, Dark Grey, Black, Red, Light Blue, Light Blue, Light Blue, Turquoise, Blue, Dark Blue, Dark Blue, Dark Blue, Dark Green","https://images.hugoboss.com/is/image/boss/hbeu50379152_305_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50379152_305_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Regular-fit chinos in an organic-cotton blend,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50457282_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50457282_404_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Regular-fit chinos in stretch-cotton gabardine,"Dark Green, Dark Blue, Dark Blue, Beige, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50325944_308_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50325944_308_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Slim-fit chinos in stretch-cotton gabardine,"Beige, Dark Blue, Dark Green, Light Beige, Dark Brown, White, Grey, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50410310_254_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50410310_254_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50410310_254_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50410310_254_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50410310_254_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50410310_254_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Tapered-fit chinos in brushed stretch-cotton satin,"Dark Blue, Red, Light Blue, Blue, Dark Blue, Dark Green, Khaki, White, Beige, Brown, Light Beige, Brown, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50442037_408_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50442037_408_240?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Tapered-fit chinos in brushed stretch-cotton satin,"Light Blue, Red, Blue, Dark Blue, Dark Blue, Dark Green, Khaki, White, Beige, Brown, Light Beige, Brown, Dark Grey, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50442037_489_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442037_489_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442037_489_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442037_489_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442037_489_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442037_489_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit chinos in stretch cotton gabardine,"Beige, Dark Red, Light Blue, Blue, Dark Blue, Dark Green, Beige, Brown, Dark Brown, White, White, Grey, Silver, Dark Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50325936_254_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50325936_254_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50325936_254_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50325936_254_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50325936_254_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50325936_254_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Slim-fit casual chinos in brushed stretch cotton,"Brown, Beige, Brown, Light Grey, Light Grey, Grey, Dark Grey, Black, Red, Light Blue, Light Blue, Light Blue, Turquoise, Blue, Dark Blue, Dark Blue, Dark Blue, Dark Green, Dark Green, Dark Green, Brown, White, Beige, Beige","https://images.hugoboss.com/is/image/boss/hbeu50379152_250_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_250_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_250_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_250_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_250_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_250_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit shirt in cotton with spread collar,"Black, light pink, Blue","https://images.hugoboss.com/is/image/boss/hbeu50293691_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50293691_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50293691_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50293691_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50293691_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50293691_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Slim-fit trousers in structured stretch cotton,"Dark Blue, Khaki","https://images.hugoboss.com/is/image/boss/hbeu50447768_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447768_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447768_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447768_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447768_404_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447768_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit shirt in easy-iron cotton poplin,"Light Blue, White","https://images.hugoboss.com/is/image/boss/hbeu50451093_450_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451093_450_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451093_450_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451093_450_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451093_450_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451093_450_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","40°C coloured wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Extra-slim-fit suit in performance-stretch cloth,Black,"https://images.hugoboss.com/is/image/boss/hbeu50450990_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450990_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit suit in micro-patterned stretch fabric,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50450524_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450524_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit suit in wool-rich performance-stretch cloth,"Black, Dark Blue, Dark Blue, Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50450988_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_361?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450988_001_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit suit in patterned virgin wool,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50450502_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450502_402_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Slim-fit suit in checked virgin wool,Blue Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50450241_497_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450241_497_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Slim-fit three-piece suit in virgin wool and silk,Beige,"https://images.hugoboss.com/is/image/boss/hbeu50450506_266_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450506_266_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Pinstripe slim-fit suit in virgin-wool serge,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50455028_405_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_361?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455028_405_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
