Product,Colour,Picture,Care Instructions
Slim-fit sweater in cotton with rolled-edge collar,"Dark Blue, Blue, Dark Green, Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50452448_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Short-sleeved cardigan knitted in mercerised cotton,"Dark Blue, White","https://images.hugoboss.com/is/image/boss/hbeu50452410_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452410_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452410_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452410_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452410_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Regular-fit logo sweater in organic cotton and hemp,"Black, Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50447089_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447089_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447089_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447089_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447089_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Mesh-detail logo sweater in organic cotton,"Light Grey, Dark Green, Black","https://images.hugoboss.com/is/image/boss/hbeu50452343_057_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_057_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_057_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_057_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_057_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Hemp-blend sweater with V neckline in regular fit,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50452400_452_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452400_452_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452400_452_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452400_452_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452400_452_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Short-sleeved sweater with mixed structures,Dark Green,"https://images.hugoboss.com/is/image/boss/hbeu50452431_301_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452431_301_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452431_301_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452431_301_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452431_301_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Zip-neck colour-block sweater with water-repellent finish,"Black, Dark Blue, White","https://images.hugoboss.com/is/image/boss/hbeu50446970_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
Zip-neck colour-block sweater with water-repellent finish,"White, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50446970_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_100_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_100_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446970_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Do not chemical dry clean"
Organic-cotton T-shirt with embroidered handwritten logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50456165_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Regular-fit T-shirt in cotton with animal artwork,"Black, White, Black, Black","https://images.hugoboss.com/is/image/boss/hbeu50460607_002_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50460607_002_340?$large$=&fit=crop,1&align=1,1","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Slim-fit polo shirt in herringbone-structured mercerised cotton,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457796_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Logo-collar T-shirt in performance-stretch fabric,Black,"https://images.hugoboss.com/is/image/boss/hbeu50457214_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457214_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457214_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457214_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457214_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Do not chemical dry clean"
Stretch-cotton turtleneck T-shirt with red logo label,"White, Black","https://images.hugoboss.com/is/image/boss/hbeu50455280_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Stretch-cotton turtleneck T-shirt with red logo label,"Black, White","https://images.hugoboss.com/is/image/boss/hbeu50455280_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Relaxed-fit polo shirt with pinstripes and handwritten logos,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50457215_405_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457215_405_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457215_405_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457215_405_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457215_405_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Logo tank top with decorative reflective details,Black,"https://images.hugoboss.com/is/image/boss/hbeu50460372_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460372_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460372_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460372_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50460372_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Do not chemical dry clean"
