Movie Name,Duration,Genre,Director Name,Top For Movies
Spider-Man: Into the Spider-Verse,1h 57min,"Animation, Action, Adventure",Bob Persichetti,"Spider-Man: Into the Spider-Verse, Puss in Boots, Wallace & Gromit: The Curse of the Were-Rabbit, Monsters vs. Aliens"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35min,Comedy,Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Hamilton,2h 40min,"Biography, Drama, History",Thomas Kail,"Hamilton, Fosse/Verdon, Grease Live!, Fiddler on the Roof"
Princess Mononoke,2h 14min,"Animation, Action, Adventure",Hayao Miyazaki,"Spirited Away, My Neighbor Totoro, Howl's Moving Castle, Princess Mononoke"
Witness for the Prosecution,1h 56min,"Crime, Drama, Mystery",Billy Wilder,"The Apartment, Some Like It Hot, Sabrina, Sunset Blvd."
Joker,2h 2min,"Crime, Drama, Thriller",Todd Phillips,"Joker, Due Date, Old School, The Hangover"
WALL·E,1h 38min,"Animation, Adventure, Family",Andrew Stanton,"WALL·E, Finding Nemo, Finding Dory, Toy Story 2"
The Shining,2h 26min,"Drama, Horror",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Avengers: Infinity War,2h 29min,"Action, Adventure, Sci-Fi",Anthony Russo,"Avengers: Endgame, Captain America: The Winter Soldier, Avengers: Infinity War, Captain America: Civil War"
Sunset Blvd.,1h 50min,"Drama, Film-Noir",Billy Wilder,"The Apartment, Some Like It Hot, Sabrina, Sunset Blvd."
Django Unchained,2h 45min,"Drama, Western",Quentin Tarantino,"Reservoir Dogs, Pulp Fiction, From Dusk Till Dawn, Death Proof"
The Lives of Others,2h 17min,"Drama, Mystery, Thriller",Florian Henckel von Donnersmarck,"The Lives of Others, Never Look Away, The Tourist, Dobermann"
Paths of Glory,1h 28min,"Drama, War",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Apocalypse Now,2h 27min,"Drama, Mystery, War",Francis Ford Coppola,"Apocalypse Now, The Conversation, The Godfather: Part II, The Godfather"
Memento,1h 53min,"Mystery, Thriller",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
Indiana Jones and the Raiders of the Lost Ark,1h 55min,"Action, Adventure",Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Saving Private Ryan, Indiana Jones and the Raiders of the Lost Ark"
Cinema Paradiso,2h 35min,"Drama, Romance",Giuseppe Tornatore,"The Best Offer, The Legend of 1900, Cinema Paradiso, Malena"
Alien,1h 57min,"Horror, Sci-Fi",Ridley Scott,"The Martian, Blade Runner, Thelma & Louise, Gladiator"
Rear Window,1h 52min,"Mystery, Thriller",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
Once Upon a Time in the West,2h 45min,Western,Sergio Leone,"Once Upon a Time in America, Duck You Sucker, The Good, the Bad and the Ugly, A Fistful of Dollars"
The Great Dictator,2h 5min,"Comedy, Drama, War",Charles Chaplin,"The Great Dictator, Limelight, The Circus, Modern Times"
The Prestige,2h 10min,"Drama, Mystery, Sci-Fi",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
Casablanca,1h 42min,"Drama, Romance, War",Michael Curtiz,"Casablanca, The Adventures of Robin Hood, White Christmas, The Comancheros"
The Intouchables,1h 52min,"Biography, Comedy, Drama",Olivier Nakache,"The Intouchables, C'est la vie!, The Specials, Tellement proches"
Grave of the Fireflies,1h 29min,"Animation, Drama, War",Isao Takahata,"The Tale of The Princess Kaguya, Grave of the Fireflies, Only Yesterday, Pom Poko"
The Departed,2h 31min,"Crime, Drama, Thriller",Martin Scorsese,"Taxi Driver, Mean Streets, Goodfellas, The Age of Innocence"
Gladiator,2h 35min,"Action, Adventure, Drama",Ridley Scott,"The Martian, Blade Runner, Thelma & Louise, Gladiator"
American History X,1h 59min,Drama,Tony Kaye,"Detachment, Lake of Fire, American History X, Mad for Love!"
Whiplash,1h 46min,"Drama, Music",Damien Chazelle,"La La Land, Whiplash, First Man, 10 Cloverfield Lane"
The Lion King,1h 28min,"Animation, Adventure, Drama",Roger Allers,"The Lion King, Aladdin, Beauty and the Beast, Tron"
City Lights,1h 27min,"Comedy, Drama, Romance",Charles Chaplin,"The Great Dictator, Limelight, The Circus, Modern Times"
Modern Times,1h 27min,"Comedy, Drama, Family",Charles Chaplin,"The Great Dictator, Limelight, The Circus, Modern Times"
Psycho,1h 49min,"Horror, Mystery, Thriller",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
The Pianist,2h 30min,"Biography, Drama, Music",Roman Polanski,"Chinatown, The Tenant, The Ghost Writer, Carnage"
Back to the Future,1h 56min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Back to the Future, Forrest Gump, Contact, Flight"
Terminator 2: Judgment Day,2h 17min,"Action, Sci-Fi",James Cameron,"Avatar, Titanic, Terminator 2: Judgment Day, Aliens"
Hara-Kiri,2h 13min,"Action, Drama, Mystery",Masaki Kobayashi,"Hara-Kiri, Samurai Rebellion, The Human Condition I: No Greater Love, The Human Condition III: A Soldier's Prayer"
Parasite,2h 12min,"Comedy, Drama, Thriller",Bong Joon Ho,"Snowpiercer, Parasite, Okja, The Host"
The Usual Suspects,1h 46min,"Crime, Mystery, Thriller",Bryan Singer,"X-Men, The Usual Suspects, X-Men: Days of Future Past, Superman Returns"
Interstellar,2h 49min,"Adventure, Drama, Sci-Fi",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
The Green Mile,3h 9min,"Crime, Drama, Fantasy",Frank Darabont,"The Green Mile, The Walking Dead, The Mist, The Shawshank Redemption"
Léon: The Professional,1h 50min,"Action, Crime, Drama",Luc Besson,"The Fifth Element, Léon: The Professional, Lucy, Nikita"
Spirited Away,2h 5min,"Animation, Adventure, Family",Hayao Miyazaki,"Spirited Away, My Neighbor Totoro, Howl's Moving Castle, Princess Mononoke"
Saving Private Ryan,2h 49min,"Drama, War",Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Saving Private Ryan, Indiana Jones and the Raiders of the Lost Ark"
It's a Wonderful Life,2h 10min,"Drama, Family, Fantasy",Frank Capra,"It's a Wonderful Life, It Happened One Night, Mr. Smith Goes to Washington, Mr. Deeds Goes to Town"
Star Wars: Episode IV - A New Hope,2h 1min,"Action, Adventure, Fantasy",George Lucas,"Star Wars: Episode IV - A New Hope, THX 1138, American Graffiti, Indiana Jones and the Raiders of the Lost Ark"
City of God,2h 10min,"Crime, Drama",Fernando Meirelles,"Blindness, The Constant Gardener, The Two Popes, City of God"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,"One Flew Over the Cuckoo's Nest, Amadeus, The People vs. Larry Flynt, Hair"
Life Is Beautiful,1h 56min,"Comedy, Drama, Romance",Roberto Benigni,"Life Is Beautiful, The Tiger and the Snow, Down by Law, Johnny Stecchino"
Se7en,2h 7min,"Crime, Drama, Mystery",David Fincher,"Se7en, Zodiac, Gone Girl, The Social Network"
The Matrix,2h 16min,"Action, Sci-Fi",Lana Wachowski,"The Matrix, Bound, Cloud Atlas, The Matrix Reloaded"
The Silence of the Lambs,1h 58min,"Crime, Drama, Thriller",Jonathan Demme,"The Silence of the Lambs, Philadelphia, Rachel Getting Married, Adaptation."
Goodfellas,2h 26min,"Biography, Crime, Drama",Martin Scorsese,"Taxi Driver, Mean Streets, Goodfellas, The Age of Innocence"
